,Forks,Full_Name,Language,Name,PRs_count,Project_ID,Stars,Watchers
0,238.0,DesarrolloAntonio/FragmentTransactionExtended,XML,FragmentTransactionExtended,2.0,20477065.0,1083.0,1083.0
1,232.0,kswedberg/jquery-tmbundle,XML,jquery-tmbundle,8.0,53611.0,563.0,563.0
2,698.0,php/doc-en,XML,doc-en,2421.0,190873997.0,475.0,475.0
3,27.0,jimulabs/google-music-mock,XML,google-music-mock,0.0,27733400.0,136.0,136.0
4,100.0,php/doc-pt_br,XML,doc-pt_br,571.0,324775087.0,112.0,112.0
5,35463.0,freeCodeCamp/freeCodeCamp,TypeScript,freeCodeCamp,36044.0,28457823.0,388733.0,388733.0
6,59994.0,EbookFoundation/free-programming-books,,free-programming-books,9886.0,13491895.0,320752.0,320752.0
7,26799.0,sindresorhus/awesome,,awesome,2012.0,21737465.0,301112.0,301112.0
8,31839.0,public-apis/public-apis,Python,public-apis,3147.0,54346799.0,292438.0,292438.0
9,73691.0,jwasham/coding-interview-university,,coding-interview-university,959.0,60493101.0,290717.0,290717.0
10,37023.0,kamranahmedse/developer-roadmap,TypeScript,developer-roadmap,3084.0,85077558.0,275562.0,275562.0
11,21254.0,996icu/996.ICU,,996.ICU,1975.0,177736533.0,269071.0,269071.0
12,24525.0,codecrafters-io/build-your-own-x,,build-your-own-x,384.0,132750724.0,258448.0,258448.0
13,43571.0,donnemartin/system-design-primer,Python,system-design-primer,526.0,83222441.0,255303.0,255303.0
14,45283.0,facebook/react,JavaScript,react,14964.0,10270250.0,222082.0,222082.0
15,33617.0,vuejs/vue,TypeScript,vue,2515.0,11730342.0,206995.0,206995.0
16,24492.0,vinta/awesome-python,Python,awesome-python,1898.0,21289110.0,205640.0,205640.0
17,29550.0,trekhleb/javascript-algorithms,JavaScript,javascript-algorithms,731.0,126577260.0,182902.0,182902.0
18,73859.0,tensorflow/tensorflow,C++,tensorflow,27002.0,45717250.0,182551.0,182551.0
19,43639.0,TheAlgorithms/Python,Python,Python,9402.0,63476337.0,179784.0,179784.0
20,8999.0,awesome-selfhosted/awesome-selfhosted,,awesome-selfhosted,3037.0,36633370.0,178650.0,178650.0
21,33222.0,getify/You-Dont-Know-JS,,You-Dont-Know-JS,889.0,14440270.0,176318.0,176318.0
22,50740.0,CyC2018/CS-Notes,,CS-Notes,611.0,121395510.0,172404.0,172404.0
23,51838.0,torvalds/linux,C,linux,806.0,2325298.0,170641.0,170641.0
24,22329.0,practical-tutorials/project-based-learning,,project-based-learning,385.0,88011908.0,169444.0,169444.0
25,25585.0,ohmyzsh/ohmyzsh,Shell,ohmyzsh,7195.0,291137.0,168931.0,168931.0
26,78366.0,twbs/bootstrap,JavaScript,bootstrap,15152.0,2126244.0,167508.0,167508.0
27,20492.0,ossu/computer-science,,computer-science,428.0,19415064.0,162894.0,162894.0
28,26576.0,flutter/flutter,Dart,flutter,52601.0,31792824.0,161908.0,161908.0
29,42218.0,Significant-Gravitas/AutoGPT,JavaScript,AutoGPT,3762.0,614765452.0,161514.0,161514.0
30,27663.0,microsoft/vscode,TypeScript,vscode,29359.0,41881900.0,158436.0,158436.0
31,83273.0,github/gitignore,,gitignore,4349.0,1062897.0,157890.0,157890.0
32,51350.0,jackfrued/Python-100-Days,Python,Python-100-Days,337.0,123458551.0,150172.0,150172.0
33,14281.0,jlevy/the-art-of-command-line,,the-art-of-command-line,586.0,35955666.0,148860.0,148860.0
34,45187.0,Snailclimb/JavaGuide,Java,JavaGuide,1296.0,132464395.0,143265.0,143265.0
35,26147.0,airbnb/javascript,JavaScript,javascript,1564.0,6498492.0,141887.0,141887.0
